Date (Month) R.E.P. HPI,Region (R.E.P)(inc. Aggregate) HPI,Housing Type (R.E.P.) HPI,Real Estate Price HPI
2005-01-01,Aggregate,Apartment,100.0
2005-02-01,Aggregate,Apartment,100.9
2005-03-01,Aggregate,Apartment,101.4
2005-04-01,Aggregate,Apartment,102.1
2005-05-01,Aggregate,Apartment,102.9
2005-06-01,Aggregate,Apartment,103.9
2005-07-01,Aggregate,Apartment,104.8
2005-08-01,Aggregate,Apartment,105.3
2005-09-01,Aggregate,Apartment,106.4
2005-10-01,Aggregate,Apartment,106.9
2005-11-01,Aggregate,Apartment,107.3
2005-12-01,Aggregate,Apartment,108.3
2006-01-01,Aggregate,Apartment,109.5
2006-02-01,Aggregate,Apartment,111.3
2006-03-01,Aggregate,Apartment,113.0
2006-04-01,Aggregate,Apartment,115.2
2006-05-01,Aggregate,Apartment,117.4
2006-06-01,Aggregate,Apartment,119.3
2006-07-01,Aggregate,Apartment,121.0
2006-08-01,Aggregate,Apartment,122.6
2006-09-01,Aggregate,Apartment,124.4
2006-10-01,Aggregate,Apartment,124.7
2006-11-01,Aggregate,Apartment,125.0
2006-12-01,Aggregate,Apartment,125.2
2007-01-01,Aggregate,Apartment,126.8
2007-02-01,Aggregate,Apartment,128.6
2007-03-01,Aggregate,Apartment,130.9
2007-04-01,Aggregate,Apartment,133.0
2007-05-01,Aggregate,Apartment,135.3
2007-06-01,Aggregate,Apartment,136.9
2007-07-01,Aggregate,Apartment,137.9
2007-08-01,Aggregate,Apartment,138.8
2007-09-01,Aggregate,Apartment,139.5
2007-10-01,Aggregate,Apartment,139.7
2007-11-01,Aggregate,Apartment,139.7
2007-12-01,Aggregate,Apartment,139.4
2008-01-01,Aggregate,Apartment,140.1
2008-02-01,Aggregate,Apartment,141.5
2008-03-01,Aggregate,Apartment,142.5
2008-04-01,Aggregate,Apartment,143.1
2008-05-01,Aggregate,Apartment,143.1
2008-06-01,Aggregate,Apartment,142.9
2008-07-01,Aggregate,Apartment,142.1
2008-08-01,Aggregate,Apartment,141.1
2008-09-01,Aggregate,Apartment,139.8
2008-10-01,Aggregate,Apartment,137.7
2008-11-01,Aggregate,Apartment,135.5
2008-12-01,Aggregate,Apartment,133.7
2009-01-01,Aggregate,Apartment,131.7
2009-02-01,Aggregate,Apartment,130.6
2009-03-01,Aggregate,Apartment,130.5
2009-04-01,Aggregate,Apartment,131.5
2009-05-01,Aggregate,Apartment,132.7
2009-06-01,Aggregate,Apartment,133.9
2009-07-01,Aggregate,Apartment,135.5
2009-08-01,Aggregate,Apartment,136.7
2009-09-01,Aggregate,Apartment,138.2
2009-10-01,Aggregate,Apartment,139.4
2009-11-01,Aggregate,Apartment,140.8
2009-12-01,Aggregate,Apartment,141.7
2010-01-01,Aggregate,Apartment,143.0
2010-02-01,Aggregate,Apartment,144.5
2010-03-01,Aggregate,Apartment,145.4
2010-04-01,Aggregate,Apartment,146.0
2010-05-01,Aggregate,Apartment,146.4
2010-06-01,Aggregate,Apartment,145.3
2010-07-01,Aggregate,Apartment,143.9
2010-08-01,Aggregate,Apartment,143.2
2010-09-01,Aggregate,Apartment,143.2
2010-10-01,Aggregate,Apartment,143.6
2010-11-01,Aggregate,Apartment,143.2
2010-12-01,Aggregate,Apartment,143.0
2011-01-01,Aggregate,Apartment,144.1
2011-02-01,Aggregate,Apartment,145.3
2011-03-01,Aggregate,Apartment,146.5
2011-04-01,Aggregate,Apartment,147.6
2011-05-01,Aggregate,Apartment,148.2
2011-06-01,Aggregate,Apartment,149.0
2011-07-01,Aggregate,Apartment,149.1
2011-08-01,Aggregate,Apartment,149.3
2011-09-01,Aggregate,Apartment,149.3
2011-10-01,Aggregate,Apartment,149.1
2011-11-01,Aggregate,Apartment,148.7
2011-12-01,Aggregate,Apartment,148.4
2012-01-01,Aggregate,Apartment,148.5
2012-02-01,Aggregate,Apartment,149.3
2012-03-01,Aggregate,Apartment,150.5
2012-04-01,Aggregate,Apartment,151.4
2012-05-01,Aggregate,Apartment,152.8
2012-06-01,Aggregate,Apartment,152.5
2012-07-01,Aggregate,Apartment,152.0
2012-08-01,Aggregate,Apartment,151.5
2012-09-01,Aggregate,Apartment,151.6
2012-10-01,Aggregate,Apartment,150.9
2012-11-01,Aggregate,Apartment,150.0
2012-12-01,Aggregate,Apartment,149.5
2013-01-01,Aggregate,Apartment,149.5
2013-02-01,Aggregate,Apartment,150.2
2013-03-01,Aggregate,Apartment,151.8
2013-04-01,Aggregate,Apartment,152.9
2013-05-01,Aggregate,Apartment,153.3
2013-06-01,Aggregate,Apartment,153.5
2013-07-01,Aggregate,Apartment,153.5
2013-08-01,Aggregate,Apartment,153.7
2013-09-01,Aggregate,Apartment,153.7
2013-10-01,Aggregate,Apartment,153.5
2013-11-01,Aggregate,Apartment,153.7
2013-12-01,Aggregate,Apartment,153.4
2014-01-01,Aggregate,Apartment,154.4
2014-02-01,Aggregate,Apartment,155.2
2014-03-01,Aggregate,Apartment,156.3
2014-04-01,Aggregate,Apartment,157.5
2014-05-01,Aggregate,Apartment,158.3
2014-06-01,Aggregate,Apartment,159.5
2014-07-01,Aggregate,Apartment,159.2
2014-08-01,Aggregate,Apartment,159.5
2014-09-01,Aggregate,Apartment,160.0
2014-10-01,Aggregate,Apartment,160.4
2014-11-01,Aggregate,Apartment,160.8
2014-12-01,Aggregate,Apartment,160.3
2015-01-01,Aggregate,Apartment,160.7
2015-02-01,Aggregate,Apartment,161.1
2015-03-01,Aggregate,Apartment,162.1
2015-04-01,Aggregate,Apartment,163.6
2015-05-01,Aggregate,Apartment,164.4
2015-06-01,Aggregate,Apartment,164.8
2015-07-01,Aggregate,Apartment,165.0
2015-08-01,Aggregate,Apartment,165.6
2015-09-01,Aggregate,Apartment,166.7
2015-10-01,Aggregate,Apartment,167.2
2015-11-01,Aggregate,Apartment,167.9
2015-12-01,Aggregate,Apartment,167.2
2016-01-01,Aggregate,Apartment,168.1
2016-02-01,Aggregate,Apartment,171.0
2016-03-01,Aggregate,Apartment,173.0
2016-04-01,Aggregate,Apartment,175.3
2016-05-01,Aggregate,Apartment,177.5
2016-06-01,Aggregate,Apartment,180.6
2016-07-01,Aggregate,Apartment,182.5
2016-08-01,Aggregate,Apartment,183.7
2016-09-01,Aggregate,Apartment,184.7
2016-10-01,Aggregate,Apartment,186.3
2016-11-01,Aggregate,Apartment,187.6
2016-12-01,Aggregate,Apartment,187.8
2017-01-01,Aggregate,Apartment,189.4
2017-02-01,Aggregate,Apartment,193.7
2017-03-01,Aggregate,Apartment,200.4
2017-04-01,Aggregate,Apartment,207.4
2017-05-01,Aggregate,Apartment,212.3
2017-06-01,Aggregate,Apartment,215.1
2017-07-01,Aggregate,Apartment,216.6
2017-08-01,Aggregate,Apartment,217.4
2017-09-01,Aggregate,Apartment,218.6
2017-10-01,Aggregate,Apartment,220.3
2017-11-01,Aggregate,Apartment,221.3
2017-12-01,Aggregate,Apartment,222.9
2018-01-01,Aggregate,Apartment,224.8
2018-02-01,Aggregate,Apartment,229.2
2018-03-01,Aggregate,Apartment,233.0
2018-04-01,Aggregate,Apartment,235.4
2018-05-01,Aggregate,Apartment,237.0
2018-06-01,Aggregate,Apartment,237.5
2018-07-01,Aggregate,Apartment,237.4
2018-08-01,Aggregate,Apartment,236.6
2018-09-01,Aggregate,Apartment,235.8
2018-10-01,Aggregate,Apartment,235.0
2018-11-01,Aggregate,Apartment,233.3
2018-12-01,Aggregate,Apartment,232.6
2019-01-01,Aggregate,Apartment,231.8
2019-02-01,Aggregate,Apartment,233.8
2019-03-01,Aggregate,Apartment,234.4
2019-04-01,Aggregate,Apartment,236.1
2019-05-01,Aggregate,Apartment,235.8
2019-06-01,Aggregate,Apartment,235.8
2019-07-01,Aggregate,Apartment,235.8
2019-08-01,Aggregate,Apartment,236.0
2019-09-01,Aggregate,Apartment,236.6
2019-10-01,Aggregate,Apartment,237.3
2019-11-01,Aggregate,Apartment,238.1
2019-12-01,Aggregate,Apartment,239.9
2020-01-01,Aggregate,Apartment,242.6
2020-02-01,Aggregate,Apartment,246.5
2020-03-01,Aggregate,Apartment,251.2
2020-04-01,Aggregate,Apartment,251.6
2020-05-01,Aggregate,Apartment,250.7
2020-06-01,Aggregate,Apartment,248.7
2020-07-01,Aggregate,Apartment,250.9
2020-08-01,Aggregate,Apartment,251.2
2020-09-01,Aggregate,Apartment,251.3
2005-01-01,Vancouver Island,Apartment,100.0
2005-02-01,Vancouver Island,Apartment,104.0
2005-03-01,Vancouver Island,Apartment,108.2
2005-04-01,Vancouver Island,Apartment,111.0
2005-05-01,Vancouver Island,Apartment,113.9
2005-06-01,Vancouver Island,Apartment,116.9
2005-07-01,Vancouver Island,Apartment,118.6
2005-08-01,Vancouver Island,Apartment,120.2
2005-09-01,Vancouver Island,Apartment,122.0
2005-10-01,Vancouver Island,Apartment,124.8
2005-11-01,Vancouver Island,Apartment,127.7
2005-12-01,Vancouver Island,Apartment,130.7
2006-01-01,Vancouver Island,Apartment,134.4
2006-02-01,Vancouver Island,Apartment,138.3
2006-03-01,Vancouver Island,Apartment,142.2
2006-04-01,Vancouver Island,Apartment,143.4
2006-05-01,Vancouver Island,Apartment,144.6
2006-06-01,Vancouver Island,Apartment,145.9
2006-07-01,Vancouver Island,Apartment,147.3
2006-08-01,Vancouver Island,Apartment,148.8
2006-09-01,Vancouver Island,Apartment,150.5
2006-10-01,Vancouver Island,Apartment,149.3
2006-11-01,Vancouver Island,Apartment,148.1
2006-12-01,Vancouver Island,Apartment,147.0
2007-01-01,Vancouver Island,Apartment,149.5
2007-02-01,Vancouver Island,Apartment,152.0
2007-03-01,Vancouver Island,Apartment,154.5
2007-04-01,Vancouver Island,Apartment,157.6
2007-05-01,Vancouver Island,Apartment,160.7
2007-06-01,Vancouver Island,Apartment,163.9
2007-07-01,Vancouver Island,Apartment,164.9
2007-08-01,Vancouver Island,Apartment,166.0
2007-09-01,Vancouver Island,Apartment,167.2
2007-10-01,Vancouver Island,Apartment,169.9
2007-11-01,Vancouver Island,Apartment,172.5
2007-12-01,Vancouver Island,Apartment,175.3
2008-01-01,Vancouver Island,Apartment,177.0
2008-02-01,Vancouver Island,Apartment,178.8
2008-03-01,Vancouver Island,Apartment,179.7
2008-04-01,Vancouver Island,Apartment,181.6
2008-05-01,Vancouver Island,Apartment,181.8
2008-06-01,Vancouver Island,Apartment,186.5
2008-07-01,Vancouver Island,Apartment,185.7
2008-08-01,Vancouver Island,Apartment,184.8
2008-09-01,Vancouver Island,Apartment,178.3
2008-10-01,Vancouver Island,Apartment,176.5
2008-11-01,Vancouver Island,Apartment,171.7
2008-12-01,Vancouver Island,Apartment,166.3
2009-01-01,Vancouver Island,Apartment,164.0
2009-02-01,Vancouver Island,Apartment,155.5
2009-03-01,Vancouver Island,Apartment,156.0
2009-04-01,Vancouver Island,Apartment,154.1
2009-05-01,Vancouver Island,Apartment,161.9
2009-06-01,Vancouver Island,Apartment,163.1
2009-07-01,Vancouver Island,Apartment,167.6
2009-08-01,Vancouver Island,Apartment,164.3
2009-09-01,Vancouver Island,Apartment,162.5
2009-10-01,Vancouver Island,Apartment,163.4
2009-11-01,Vancouver Island,Apartment,165.4
2009-12-01,Vancouver Island,Apartment,163.8
2010-01-01,Vancouver Island,Apartment,168.4
2010-02-01,Vancouver Island,Apartment,166.1
2010-03-01,Vancouver Island,Apartment,169.5
2010-04-01,Vancouver Island,Apartment,169.6
2010-05-01,Vancouver Island,Apartment,169.7
2010-06-01,Vancouver Island,Apartment,167.3
2010-07-01,Vancouver Island,Apartment,169.6
2010-08-01,Vancouver Island,Apartment,167.1
2010-09-01,Vancouver Island,Apartment,164.0
2010-10-01,Vancouver Island,Apartment,164.7
2010-11-01,Vancouver Island,Apartment,159.1
2010-12-01,Vancouver Island,Apartment,155.8
2011-01-01,Vancouver Island,Apartment,157.6
2011-02-01,Vancouver Island,Apartment,162.7
2011-03-01,Vancouver Island,Apartment,162.7
2011-04-01,Vancouver Island,Apartment,165.1
2011-05-01,Vancouver Island,Apartment,163.3
2011-06-01,Vancouver Island,Apartment,163.0
2011-07-01,Vancouver Island,Apartment,162.9
2011-08-01,Vancouver Island,Apartment,162.4
2011-09-01,Vancouver Island,Apartment,162.0
2011-10-01,Vancouver Island,Apartment,159.2
2011-11-01,Vancouver Island,Apartment,153.5
2011-12-01,Vancouver Island,Apartment,150.8
2012-01-01,Vancouver Island,Apartment,153.3
2012-02-01,Vancouver Island,Apartment,154.4
2012-03-01,Vancouver Island,Apartment,153.4
2012-04-01,Vancouver Island,Apartment,151.7
2012-05-01,Vancouver Island,Apartment,155.8
2012-06-01,Vancouver Island,Apartment,156.2
2012-07-01,Vancouver Island,Apartment,155.7
2012-08-01,Vancouver Island,Apartment,153.6
2012-09-01,Vancouver Island,Apartment,154.4
2012-10-01,Vancouver Island,Apartment,150.1
2012-11-01,Vancouver Island,Apartment,148.1
2012-12-01,Vancouver Island,Apartment,144.8
2013-01-01,Vancouver Island,Apartment,149.7
2013-02-01,Vancouver Island,Apartment,146.1
2013-03-01,Vancouver Island,Apartment,145.6
2013-04-01,Vancouver Island,Apartment,151.6
2013-05-01,Vancouver Island,Apartment,153.8
2013-06-01,Vancouver Island,Apartment,154.7
2013-07-01,Vancouver Island,Apartment,151.8
2013-08-01,Vancouver Island,Apartment,154.1
2013-09-01,Vancouver Island,Apartment,149.8
2013-10-01,Vancouver Island,Apartment,148.7
2013-11-01,Vancouver Island,Apartment,146.6
2013-12-01,Vancouver Island,Apartment,152.3
2014-01-01,Vancouver Island,Apartment,150.8
2014-02-01,Vancouver Island,Apartment,152.5
2014-03-01,Vancouver Island,Apartment,152.7
2014-04-01,Vancouver Island,Apartment,154.2
2014-05-01,Vancouver Island,Apartment,154.6
2014-06-01,Vancouver Island,Apartment,153.2
2014-07-01,Vancouver Island,Apartment,151.0
2014-08-01,Vancouver Island,Apartment,153.7
2014-09-01,Vancouver Island,Apartment,157.2
2014-10-01,Vancouver Island,Apartment,161.7
2014-11-01,Vancouver Island,Apartment,155.1
2014-12-01,Vancouver Island,Apartment,159.7
2015-01-01,Vancouver Island,Apartment,152.7
2015-02-01,Vancouver Island,Apartment,149.1
2015-03-01,Vancouver Island,Apartment,153.5
2015-04-01,Vancouver Island,Apartment,156.9
2015-05-01,Vancouver Island,Apartment,158.1
2015-06-01,Vancouver Island,Apartment,155.0
2015-07-01,Vancouver Island,Apartment,157.8
2015-08-01,Vancouver Island,Apartment,156.9
2015-09-01,Vancouver Island,Apartment,158.7
2015-10-01,Vancouver Island,Apartment,160.2
2015-11-01,Vancouver Island,Apartment,157.9
2015-12-01,Vancouver Island,Apartment,159.4
2016-01-01,Vancouver Island,Apartment,161.6
2016-02-01,Vancouver Island,Apartment,159.2
2016-03-01,Vancouver Island,Apartment,161.1
2016-04-01,Vancouver Island,Apartment,163.9
2016-05-01,Vancouver Island,Apartment,168.5
2016-06-01,Vancouver Island,Apartment,174.0
2016-07-01,Vancouver Island,Apartment,180.4
2016-08-01,Vancouver Island,Apartment,183.1
2016-09-01,Vancouver Island,Apartment,184.9
2016-10-01,Vancouver Island,Apartment,186.7
2016-11-01,Vancouver Island,Apartment,187.5
2016-12-01,Vancouver Island,Apartment,193.3
2017-01-01,Vancouver Island,Apartment,196.8
2017-02-01,Vancouver Island,Apartment,202.7
2017-03-01,Vancouver Island,Apartment,206.8
2017-04-01,Vancouver Island,Apartment,206.2
2017-05-01,Vancouver Island,Apartment,209.7
2017-06-01,Vancouver Island,Apartment,216.1
2017-07-01,Vancouver Island,Apartment,220.5
2017-08-01,Vancouver Island,Apartment,222.9
2017-09-01,Vancouver Island,Apartment,228.3
2017-10-01,Vancouver Island,Apartment,230.1
2017-11-01,Vancouver Island,Apartment,234.4
2017-12-01,Vancouver Island,Apartment,235.3
2018-01-01,Vancouver Island,Apartment,240.5
2018-02-01,Vancouver Island,Apartment,243.4
2018-03-01,Vancouver Island,Apartment,252.6
2018-04-01,Vancouver Island,Apartment,255.3
2018-05-01,Vancouver Island,Apartment,262.8
2018-06-01,Vancouver Island,Apartment,265.1
2018-07-01,Vancouver Island,Apartment,267.9
2018-08-01,Vancouver Island,Apartment,270.1
2018-09-01,Vancouver Island,Apartment,271.9
2018-10-01,Vancouver Island,Apartment,267.4
2018-11-01,Vancouver Island,Apartment,266.2
2018-12-01,Vancouver Island,Apartment,270.4
2019-01-01,Vancouver Island,Apartment,274.5
2019-02-01,Vancouver Island,Apartment,271.6
2019-03-01,Vancouver Island,Apartment,271.1
2019-04-01,Vancouver Island,Apartment,274.6
2019-05-01,Vancouver Island,Apartment,278.4
2019-06-01,Vancouver Island,Apartment,283.1
2019-07-01,Vancouver Island,Apartment,280.7
2019-08-01,Vancouver Island,Apartment,277.8
2019-09-01,Vancouver Island,Apartment,278.9
2019-10-01,Vancouver Island,Apartment,275.1
2019-11-01,Vancouver Island,Apartment,276.6
2019-12-01,Vancouver Island,Apartment,278.9
2020-01-01,Vancouver Island,Apartment,285.1
2020-02-01,Vancouver Island,Apartment,285.4
2020-03-01,Vancouver Island,Apartment,285.5
2020-04-01,Vancouver Island,Apartment,287.6
2020-05-01,Vancouver Island,Apartment,285.3
2020-06-01,Vancouver Island,Apartment,291.1
2020-07-01,Vancouver Island,Apartment,293.2
2020-08-01,Vancouver Island,Apartment,290.6
2020-09-01,Vancouver Island,Apartment,288.1
2005-01-01,Victoria,Apartment,100.0
2005-02-01,Victoria,Apartment,102.2
2005-03-01,Victoria,Apartment,104.4
2005-04-01,Victoria,Apartment,106.2
2005-05-01,Victoria,Apartment,108.1
2005-06-01,Victoria,Apartment,110.1
2005-07-01,Victoria,Apartment,112.1
2005-08-01,Victoria,Apartment,114.2
2005-09-01,Victoria,Apartment,116.4
2005-10-01,Victoria,Apartment,117.2
2005-11-01,Victoria,Apartment,118.1
2005-12-01,Victoria,Apartment,118.9
2006-01-01,Victoria,Apartment,121.2
2006-02-01,Victoria,Apartment,123.4
2006-03-01,Victoria,Apartment,125.8
2006-04-01,Victoria,Apartment,127.1
2006-05-01,Victoria,Apartment,128.5
2006-06-01,Victoria,Apartment,129.8
2006-07-01,Victoria,Apartment,130.3
2006-08-01,Victoria,Apartment,130.7
2006-09-01,Victoria,Apartment,131.2
2006-10-01,Victoria,Apartment,130.9
2006-11-01,Victoria,Apartment,130.7
2006-12-01,Victoria,Apartment,130.4
2007-01-01,Victoria,Apartment,132.7
2007-02-01,Victoria,Apartment,135.1
2007-03-01,Victoria,Apartment,137.5
2007-04-01,Victoria,Apartment,138.4
2007-05-01,Victoria,Apartment,139.4
2007-06-01,Victoria,Apartment,140.3
2007-07-01,Victoria,Apartment,142.5
2007-08-01,Victoria,Apartment,144.8
2007-09-01,Victoria,Apartment,147.2
2007-10-01,Victoria,Apartment,148.4
2007-11-01,Victoria,Apartment,149.5
2007-12-01,Victoria,Apartment,150.8
2008-01-01,Victoria,Apartment,154.9
2008-02-01,Victoria,Apartment,155.5
2008-03-01,Victoria,Apartment,156.4
2008-04-01,Victoria,Apartment,157.9
2008-05-01,Victoria,Apartment,158.1
2008-06-01,Victoria,Apartment,158.4
2008-07-01,Victoria,Apartment,157.2
2008-08-01,Victoria,Apartment,155.1
2008-09-01,Victoria,Apartment,153.7
2008-10-01,Victoria,Apartment,152.6
2008-11-01,Victoria,Apartment,149.3
2008-12-01,Victoria,Apartment,146.3
2009-01-01,Victoria,Apartment,142.3
2009-02-01,Victoria,Apartment,142.6
2009-03-01,Victoria,Apartment,144.7
2009-04-01,Victoria,Apartment,146.3
2009-05-01,Victoria,Apartment,147.7
2009-06-01,Victoria,Apartment,149.2
2009-07-01,Victoria,Apartment,151.0
2009-08-01,Victoria,Apartment,151.3
2009-09-01,Victoria,Apartment,153.7
2009-10-01,Victoria,Apartment,155.6
2009-11-01,Victoria,Apartment,157.9
2009-12-01,Victoria,Apartment,158.8
2010-01-01,Victoria,Apartment,159.8
2010-02-01,Victoria,Apartment,160.1
2010-03-01,Victoria,Apartment,160.7
2010-04-01,Victoria,Apartment,160.4
2010-05-01,Victoria,Apartment,160.8
2010-06-01,Victoria,Apartment,158.1
2010-07-01,Victoria,Apartment,156.4
2010-08-01,Victoria,Apartment,155.2
2010-09-01,Victoria,Apartment,154.7
2010-10-01,Victoria,Apartment,154.9
2010-11-01,Victoria,Apartment,152.8
2010-12-01,Victoria,Apartment,151.2
2011-01-01,Victoria,Apartment,151.8
2011-02-01,Victoria,Apartment,152.8
2011-03-01,Victoria,Apartment,155.1
2011-04-01,Victoria,Apartment,155.9
2011-05-01,Victoria,Apartment,155.8
2011-06-01,Victoria,Apartment,156.9
2011-07-01,Victoria,Apartment,155.8
2011-08-01,Victoria,Apartment,155.6
2011-09-01,Victoria,Apartment,153.2
2011-10-01,Victoria,Apartment,151.4
2011-11-01,Victoria,Apartment,151.5
2011-12-01,Victoria,Apartment,150.9
2012-01-01,Victoria,Apartment,151.8
2012-02-01,Victoria,Apartment,149.5
2012-03-01,Victoria,Apartment,148.5
2012-04-01,Victoria,Apartment,148.9
2012-05-01,Victoria,Apartment,148.7
2012-06-01,Victoria,Apartment,150.7
2012-07-01,Victoria,Apartment,149.9
2012-08-01,Victoria,Apartment,148.4
2012-09-01,Victoria,Apartment,146.2
2012-10-01,Victoria,Apartment,143.9
2012-11-01,Victoria,Apartment,142.9
2012-12-01,Victoria,Apartment,140.9
2013-01-01,Victoria,Apartment,139.9
2013-02-01,Victoria,Apartment,140.9
2013-03-01,Victoria,Apartment,143.1
2013-04-01,Victoria,Apartment,143.0
2013-05-01,Victoria,Apartment,144.0
2013-06-01,Victoria,Apartment,142.5
2013-07-01,Victoria,Apartment,144.1
2013-08-01,Victoria,Apartment,142.9
2013-09-01,Victoria,Apartment,143.7
2013-10-01,Victoria,Apartment,142.4
2013-11-01,Victoria,Apartment,140.5
2013-12-01,Victoria,Apartment,138.9
2014-01-01,Victoria,Apartment,137.3
2014-02-01,Victoria,Apartment,140.1
2014-03-01,Victoria,Apartment,143.5
2014-04-01,Victoria,Apartment,144.0
2014-05-01,Victoria,Apartment,143.5
2014-06-01,Victoria,Apartment,143.9
2014-07-01,Victoria,Apartment,144.5
2014-08-01,Victoria,Apartment,145.6
2014-09-01,Victoria,Apartment,144.9
2014-10-01,Victoria,Apartment,144.9
2014-11-01,Victoria,Apartment,145.3
2014-12-01,Victoria,Apartment,144.7
2015-01-01,Victoria,Apartment,144.9
2015-02-01,Victoria,Apartment,146.0
2015-03-01,Victoria,Apartment,148.7
2015-04-01,Victoria,Apartment,150.2
2015-05-01,Victoria,Apartment,150.9
2015-06-01,Victoria,Apartment,149.5
2015-07-01,Victoria,Apartment,149.8
2015-08-01,Victoria,Apartment,149.6
2015-09-01,Victoria,Apartment,151.9
2015-10-01,Victoria,Apartment,153.8
2015-11-01,Victoria,Apartment,153.3
2015-12-01,Victoria,Apartment,153.9
2016-01-01,Victoria,Apartment,155.9
2016-02-01,Victoria,Apartment,158.6
2016-03-01,Victoria,Apartment,161.7
2016-04-01,Victoria,Apartment,164.4
2016-05-01,Victoria,Apartment,166.5
2016-06-01,Victoria,Apartment,171.7
2016-07-01,Victoria,Apartment,174.7
2016-08-01,Victoria,Apartment,177.4
2016-09-01,Victoria,Apartment,178.7
2016-10-01,Victoria,Apartment,181.1
2016-11-01,Victoria,Apartment,184.2
2016-12-01,Victoria,Apartment,185.1
2017-01-01,Victoria,Apartment,186.7
2017-02-01,Victoria,Apartment,194.1
2017-03-01,Victoria,Apartment,201.4
2017-04-01,Victoria,Apartment,206.4
2017-05-01,Victoria,Apartment,210.2
2017-06-01,Victoria,Apartment,212.5
2017-07-01,Victoria,Apartment,217.1
2017-08-01,Victoria,Apartment,218.7
2017-09-01,Victoria,Apartment,219.6
2017-10-01,Victoria,Apartment,219.4
2017-11-01,Victoria,Apartment,219.3
2017-12-01,Victoria,Apartment,222.7
2018-01-01,Victoria,Apartment,225.3
2018-02-01,Victoria,Apartment,231.5
2018-03-01,Victoria,Apartment,239.2
2018-04-01,Victoria,Apartment,242.4
2018-05-01,Victoria,Apartment,242.0
2018-06-01,Victoria,Apartment,242.7
2018-07-01,Victoria,Apartment,243.0
2018-08-01,Victoria,Apartment,241.4
2018-09-01,Victoria,Apartment,241.4
2018-10-01,Victoria,Apartment,242.7
2018-11-01,Victoria,Apartment,241.5
2018-12-01,Victoria,Apartment,241.6
2019-01-01,Victoria,Apartment,239.8
2019-02-01,Victoria,Apartment,241.6
2019-03-01,Victoria,Apartment,243.5
2019-04-01,Victoria,Apartment,246.1
2019-05-01,Victoria,Apartment,247.1
2019-06-01,Victoria,Apartment,248.2
2019-07-01,Victoria,Apartment,249.1
2019-08-01,Victoria,Apartment,247.6
2019-09-01,Victoria,Apartment,245.4
2019-10-01,Victoria,Apartment,245.2
2019-11-01,Victoria,Apartment,247.9
2019-12-01,Victoria,Apartment,249.5
2020-01-01,Victoria,Apartment,250.6
2020-02-01,Victoria,Apartment,252.2
2020-03-01,Victoria,Apartment,254.9
2020-04-01,Victoria,Apartment,255.7
2020-05-01,Victoria,Apartment,254.8
2020-06-01,Victoria,Apartment,251.5
2020-07-01,Victoria,Apartment,253.3
2020-08-01,Victoria,Apartment,247.6
2020-09-01,Victoria,Apartment,246.5
2005-01-01,Lower Mainland,Apartment,100.0
2005-02-01,Lower Mainland,Apartment,100.9
2005-03-01,Lower Mainland,Apartment,101.8
2005-04-01,Lower Mainland,Apartment,102.6
2005-05-01,Lower Mainland,Apartment,104.3
2005-06-01,Lower Mainland,Apartment,106.2
2005-07-01,Lower Mainland,Apartment,107.7
2005-08-01,Lower Mainland,Apartment,108.9
2005-09-01,Lower Mainland,Apartment,110.9
2005-10-01,Lower Mainland,Apartment,111.7
2005-11-01,Lower Mainland,Apartment,112.7
2005-12-01,Lower Mainland,Apartment,113.9
2006-01-01,Lower Mainland,Apartment,116.0
2006-02-01,Lower Mainland,Apartment,118.7
2006-03-01,Lower Mainland,Apartment,120.9
2006-04-01,Lower Mainland,Apartment,124.0
2006-05-01,Lower Mainland,Apartment,127.0
2006-06-01,Lower Mainland,Apartment,129.1
2006-07-01,Lower Mainland,Apartment,130.5
2006-08-01,Lower Mainland,Apartment,132.2
2006-09-01,Lower Mainland,Apartment,133.5
2006-10-01,Lower Mainland,Apartment,133.3
2006-11-01,Lower Mainland,Apartment,133.2
2006-12-01,Lower Mainland,Apartment,132.5
2007-01-01,Lower Mainland,Apartment,134.9
2007-02-01,Lower Mainland,Apartment,136.6
2007-03-01,Lower Mainland,Apartment,138.2
2007-04-01,Lower Mainland,Apartment,140.2
2007-05-01,Lower Mainland,Apartment,142.1
2007-06-01,Lower Mainland,Apartment,143.7
2007-07-01,Lower Mainland,Apartment,145.0
2007-08-01,Lower Mainland,Apartment,146.7
2007-09-01,Lower Mainland,Apartment,147.8
2007-10-01,Lower Mainland,Apartment,148.6
2007-11-01,Lower Mainland,Apartment,149.6
2007-12-01,Lower Mainland,Apartment,150.2
2008-01-01,Lower Mainland,Apartment,151.3
2008-02-01,Lower Mainland,Apartment,152.9
2008-03-01,Lower Mainland,Apartment,154.1
2008-04-01,Lower Mainland,Apartment,154.4
2008-05-01,Lower Mainland,Apartment,154.5
2008-06-01,Lower Mainland,Apartment,154.8
2008-07-01,Lower Mainland,Apartment,152.1
2008-08-01,Lower Mainland,Apartment,150.8
2008-09-01,Lower Mainland,Apartment,149.2
2008-10-01,Lower Mainland,Apartment,145.2
2008-11-01,Lower Mainland,Apartment,141.1
2008-12-01,Lower Mainland,Apartment,136.9
2009-01-01,Lower Mainland,Apartment,136.1
2009-02-01,Lower Mainland,Apartment,134.7
2009-03-01,Lower Mainland,Apartment,133.7
2009-04-01,Lower Mainland,Apartment,135.5
