Date (Month) H.P.I.,Property Type (H.P.I.),H.P.I.
2021-12-01,House Only,122.9
2022-01-01,House Only,124.3
2022-02-01,House Only,126.0
2022-03-01,House Only,127.9
2022-04-01,House Only,128.6
2022-05-01,House Only,129.4
2022-06-01,House Only,129.6
2022-07-01,House Only,129.6
2022-08-01,House Only,129.8
2022-09-01,House Only,129.7
2022-10-01,House Only,129.4
2022-11-01,House Only,129.3
2022-12-01,House Only,129.2
1981-01-01,Land Only,40.6
1981-02-01,Land Only,41.0
1981-03-01,Land Only,41.1
1981-04-01,Land Only,41.2
1981-05-01,Land Only,41.5
1981-06-01,Land Only,41.6
1981-07-01,Land Only,41.6
1981-08-01,Land Only,41.5
1981-09-01,Land Only,40.9
1981-10-01,Land Only,40.9
1981-11-01,Land Only,40.4
1981-12-01,Land Only,40.5
1982-01-01,Land Only,40.5
1982-02-01,Land Only,40.6
1982-03-01,Land Only,40.7
1982-04-01,Land Only,40.6
1982-05-01,Land Only,40.1
1982-06-01,Land Only,39.5
1982-07-01,Land Only,38.5
1982-08-01,Land Only,38.2
1982-09-01,Land Only,37.5
1982-10-01,Land Only,37.5
1982-11-01,Land Only,37.0
1982-12-01,Land Only,37.0
1983-01-01,Land Only,36.8
1983-02-01,Land Only,36.8
1983-03-01,Land Only,37.0
1983-04-01,Land Only,37.2
1983-05-01,Land Only,37.2
1983-06-01,Land Only,37.4
1983-07-01,Land Only,37.4
1983-08-01,Land Only,37.2
1983-09-01,Land Only,37.3
1983-10-01,Land Only,37.2
1983-11-01,Land Only,37.4
1983-12-01,Land Only,37.2
1984-01-01,Land Only,37.3
1984-02-01,Land Only,37.3
1984-03-01,Land Only,37.3
1984-04-01,Land Only,37.4
1984-05-01,Land Only,37.4
1984-06-01,Land Only,37.4
1984-07-01,Land Only,37.4
1984-08-01,Land Only,37.4
1984-09-01,Land Only,37.3
1984-10-01,Land Only,37.2
1984-11-01,Land Only,37.0
1984-12-01,Land Only,37.0
1985-01-01,Land Only,37.1
1985-02-01,Land Only,37.2
1985-03-01,Land Only,37.3
1985-04-01,Land Only,37.3
1985-05-01,Land Only,37.5
1985-06-01,Land Only,37.8
1985-07-01,Land Only,37.8
1985-08-01,Land Only,38.0
1985-09-01,Land Only,38.2
1985-10-01,Land Only,38.2
1985-11-01,Land Only,38.3
1985-12-01,Land Only,38.4
1986-01-01,Land Only,38.8
1986-02-01,Land Only,39.2
1986-03-01,Land Only,39.3
1986-04-01,Land Only,39.3
1986-05-01,Land Only,39.5
1986-06-01,Land Only,39.7
1986-07-01,Land Only,39.8
1986-08-01,Land Only,40.1
1986-09-01,Land Only,40.6
1986-10-01,Land Only,40.6
1986-11-01,Land Only,41.0
1986-12-01,Land Only,41.0
1987-01-01,Land Only,41.1
1987-02-01,Land Only,41.3
1987-03-01,Land Only,42.7
1987-04-01,Land Only,43.1
1987-05-01,Land Only,43.5
1987-06-01,Land Only,43.6
1987-07-01,Land Only,43.9
1987-08-01,Land Only,44.2
1987-09-01,Land Only,45.4
1987-10-01,Land Only,45.6
1987-11-01,Land Only,45.9
1987-12-01,Land Only,46.1
1988-01-01,Land Only,46.4
1988-02-01,Land Only,46.9
1988-03-01,Land Only,47.4
1988-04-01,Land Only,48.3
1988-05-01,Land Only,49.3
1988-06-01,Land Only,50.3
1988-07-01,Land Only,50.6
1988-08-01,Land Only,50.9
1988-09-01,Land Only,52.3
1988-10-01,Land Only,52.8
1988-11-01,Land Only,54.3
1988-12-01,Land Only,56.2
1989-01-01,Land Only,57.6
1989-02-01,Land Only,60.3
1989-03-01,Land Only,62.5
1989-04-01,Land Only,63.4
1989-05-01,Land Only,63.6
1989-06-01,Land Only,64.0
1989-07-01,Land Only,64.5
1989-08-01,Land Only,64.7
1989-09-01,Land Only,65.2
1989-10-01,Land Only,65.5
1989-11-01,Land Only,66.6
1989-12-01,Land Only,67.0
1990-01-01,Land Only,67.6
1990-02-01,Land Only,68.0
1990-03-01,Land Only,68.4
1990-04-01,Land Only,68.5
1990-05-01,Land Only,68.6
1990-06-01,Land Only,68.3
1990-07-01,Land Only,68.3
1990-08-01,Land Only,67.6
1990-09-01,Land Only,66.6
1990-10-01,Land Only,66.5
1990-11-01,Land Only,66.1
1990-12-01,Land Only,66.1
1991-01-01,Land Only,65.1
1991-02-01,Land Only,63.6
1991-03-01,Land Only,63.8
1991-04-01,Land Only,63.9
1991-05-01,Land Only,64.0
1991-06-01,Land Only,64.0
1991-07-01,Land Only,64.3
1991-08-01,Land Only,64.2
1991-09-01,Land Only,64.2
1991-10-01,Land Only,64.1
1991-11-01,Land Only,63.9
1991-12-01,Land Only,64.0
1992-01-01,Land Only,63.9
1992-02-01,Land Only,64.0
1992-03-01,Land Only,64.3
1992-04-01,Land Only,64.7
1992-05-01,Land Only,64.9
1992-06-01,Land Only,65.1
1992-07-01,Land Only,66.0
1992-08-01,Land Only,65.9
1992-09-01,Land Only,66.0
1992-10-01,Land Only,66.4
1992-11-01,Land Only,66.3
1992-12-01,Land Only,66.4
1993-01-01,Land Only,66.4
1993-02-01,Land Only,66.6
1993-03-01,Land Only,67.0
1993-04-01,Land Only,67.2
1993-05-01,Land Only,67.4
1993-06-01,Land Only,67.6
1993-07-01,Land Only,67.8
1993-08-01,Land Only,67.8
1993-09-01,Land Only,67.8
1993-10-01,Land Only,67.7
1993-11-01,Land Only,67.7
1993-12-01,Land Only,67.7
1994-01-01,Land Only,67.8
1994-02-01,Land Only,67.6
1994-03-01,Land Only,67.7
1994-04-01,Land Only,67.7
1994-05-01,Land Only,67.8
1994-06-01,Land Only,67.8
1994-07-01,Land Only,67.8
1994-08-01,Land Only,67.8
1994-09-01,Land Only,67.8
1994-10-01,Land Only,67.8
1994-11-01,Land Only,67.7
1994-12-01,Land Only,67.6
1995-01-01,Land Only,67.6
1995-02-01,Land Only,67.4
1995-03-01,Land Only,67.4
1995-04-01,Land Only,67.4
1995-05-01,Land Only,67.2
1995-06-01,Land Only,67.0
1995-07-01,Land Only,66.9
1995-08-01,Land Only,67.0
1995-09-01,Land Only,66.9
1995-10-01,Land Only,66.6
1995-11-01,Land Only,66.4
1995-12-01,Land Only,66.4
1996-01-01,Land Only,66.4
1996-02-01,Land Only,66.4
1996-03-01,Land Only,66.3
1996-04-01,Land Only,66.3
1996-05-01,Land Only,66.3
1996-06-01,Land Only,66.3
1996-07-01,Land Only,66.3
1996-08-01,Land Only,66.2
1996-09-01,Land Only,66.1
1996-10-01,Land Only,66.1
1996-11-01,Land Only,66.1
1996-12-01,Land Only,66.2
1997-01-01,Land Only,66.2
1997-02-01,Land Only,66.3
1997-03-01,Land Only,66.2
1997-04-01,Land Only,66.1
1997-05-01,Land Only,66.2
1997-06-01,Land Only,66.3
1997-07-01,Land Only,66.3
1997-08-01,Land Only,66.3
1997-09-01,Land Only,66.3
1997-10-01,Land Only,66.3
1997-11-01,Land Only,66.3
1997-12-01,Land Only,66.4
1998-01-01,Land Only,66.4
1998-02-01,Land Only,66.4
1998-03-01,Land Only,66.4
1998-04-01,Land Only,66.4
1998-05-01,Land Only,66.4
1998-06-01,Land Only,66.5
1998-07-01,Land Only,66.5
1998-08-01,Land Only,66.6
1998-09-01,Land Only,66.6
1998-10-01,Land Only,66.4
1998-11-01,Land Only,66.4
1998-12-01,Land Only,66.6
1999-01-01,Land Only,66.6
1999-02-01,Land Only,66.6
1999-03-01,Land Only,66.6
1999-04-01,Land Only,66.6
1999-05-01,Land Only,66.5
1999-06-01,Land Only,66.6
1999-07-01,Land Only,66.6
1999-08-01,Land Only,66.6
1999-09-01,Land Only,66.7
1999-10-01,Land Only,66.8
1999-11-01,Land Only,66.8
1999-12-01,Land Only,66.8
2000-01-01,Land Only,66.8
2000-02-01,Land Only,66.8
2000-03-01,Land Only,66.9
2000-04-01,Land Only,66.9
2000-05-01,Land Only,67.0
2000-06-01,Land Only,67.0
2000-07-01,Land Only,67.1
2000-08-01,Land Only,67.2
2000-09-01,Land Only,67.3
2000-10-01,Land Only,67.4
2000-11-01,Land Only,67.4
2000-12-01,Land Only,67.4
2001-01-01,Land Only,67.4
2001-02-01,Land Only,67.5
2001-03-01,Land Only,67.5
2001-04-01,Land Only,67.6
2001-05-01,Land Only,67.7
2001-06-01,Land Only,67.8
2001-07-01,Land Only,67.8
2001-08-01,Land Only,67.8
2001-09-01,Land Only,67.8
2001-10-01,Land Only,67.9
2001-11-01,Land Only,68.0
2001-12-01,Land Only,67.9
2002-01-01,Land Only,68.0
2002-02-01,Land Only,68.1
2002-03-01,Land Only,68.2
2002-04-01,Land Only,68.3
2002-05-01,Land Only,68.5
2002-06-01,Land Only,68.5
2002-07-01,Land Only,68.5
2002-08-01,Land Only,68.7
2002-09-01,Land Only,68.7
2002-10-01,Land Only,68.8
2002-11-01,Land Only,68.9
2002-12-01,Land Only,69.0
2003-01-01,Land Only,69.1
2003-02-01,Land Only,69.1
2003-03-01,Land Only,69.1
2003-04-01,Land Only,69.2
2003-05-01,Land Only,69.4
2003-06-01,Land Only,69.5
2003-07-01,Land Only,69.5
2003-08-01,Land Only,69.7
2003-09-01,Land Only,69.9
2003-10-01,Land Only,70.0
2003-11-01,Land Only,70.0
2003-12-01,Land Only,70.1
2004-01-01,Land Only,70.2
2004-02-01,Land Only,70.3
2004-03-01,Land Only,70.5
2004-04-01,Land Only,70.9
2004-05-01,Land Only,71.2
2004-06-01,Land Only,71.7
2004-07-01,Land Only,71.8
2004-08-01,Land Only,72.1
2004-09-01,Land Only,72.3
2004-10-01,Land Only,72.4
2004-11-01,Land Only,72.6
2004-12-01,Land Only,72.9
2005-01-01,Land Only,73.0
2005-02-01,Land Only,73.1
2005-03-01,Land Only,73.5
2005-04-01,Land Only,73.8
2005-05-01,Land Only,74.2
2005-06-01,Land Only,75.5
2005-07-01,Land Only,75.6
2005-08-01,Land Only,75.9
2005-09-01,Land Only,76.2
2005-10-01,Land Only,76.4
2005-11-01,Land Only,76.8
2005-12-01,Land Only,77.1
2006-01-01,Land Only,77.4
2006-02-01,Land Only,77.7
2006-03-01,Land Only,78.3
2006-04-01,Land Only,78.8
2006-05-01,Land Only,80.0
2006-06-01,Land Only,81.1
2006-07-01,Land Only,82.3
2006-08-01,Land Only,83.3
2006-09-01,Land Only,83.9
2006-10-01,Land Only,84.1
2006-11-01,Land Only,84.9
2006-12-01,Land Only,85.3
2007-01-01,Land Only,85.5
2007-02-01,Land Only,85.8
2007-03-01,Land Only,86.2
2007-04-01,Land Only,87.1
2007-05-01,Land Only,87.7
2007-06-01,Land Only,88.5
2007-07-01,Land Only,89.7
2007-08-01,Land Only,89.9
2007-09-01,Land Only,90.0
2007-10-01,Land Only,90.3
2007-11-01,Land Only,90.7
2007-12-01,Land Only,90.9
2008-01-01,Land Only,91.4
2008-02-01,Land Only,91.8
2008-03-01,Land Only,92.2
2008-04-01,Land Only,92.4
2008-05-01,Land Only,92.5
2008-06-01,Land Only,92.7
2008-07-01,Land Only,92.8
2008-08-01,Land Only,92.9
2008-09-01,Land Only,93.1
2008-10-01,Land Only,93.4
2008-11-01,Land Only,93.5
2008-12-01,Land Only,93.4
2009-01-01,Land Only,92.9
2009-02-01,Land Only,92.3
2009-03-01,Land Only,91.9
2009-04-01,Land Only,91.8
2009-05-01,Land Only,91.5
2009-06-01,Land Only,91.3
2009-07-01,Land Only,91.3
2009-08-01,Land Only,91.3
2009-09-01,Land Only,91.3
2009-10-01,Land Only,91.2
2009-11-01,Land Only,91.4
2009-12-01,Land Only,91.3
2010-01-01,Land Only,91.4
2010-02-01,Land Only,91.2
2010-03-01,Land Only,90.9
2010-04-01,Land Only,91.0
2010-05-01,Land Only,91.2
2010-06-01,Land Only,91.2
2010-07-01,Land Only,91.0
2010-08-01,Land Only,91.0
2010-09-01,Land Only,91.5
2010-10-01,Land Only,91.5
2010-11-01,Land Only,91.8
2010-12-01,Land Only,92.0
2011-01-01,Land Only,92.1
2011-02-01,Land Only,92.4
2011-03-01,Land Only,92.3
2011-04-01,Land Only,92.4
2011-05-01,Land Only,92.7
2011-06-01,Land Only,92.8
2011-07-01,Land Only,92.9
2011-08-01,Land Only,93.0
2011-09-01,Land Only,93.0
2011-10-01,Land Only,93.2
2011-11-01,Land Only,93.4
2011-12-01,Land Only,93.6
2012-01-01,Land Only,93.8
2012-02-01,Land Only,93.9
2012-03-01,Land Only,94.1
2012-04-01,Land Only,94.2
2012-05-01,Land Only,94.4
2012-06-01,Land Only,94.6
2012-07-01,Land Only,94.6
2012-08-01,Land Only,94.6
2012-09-01,Land Only,94.8
2012-10-01,Land Only,94.8
2012-11-01,Land Only,94.8
2012-12-01,Land Only,94.9
2013-01-01,Land Only,95.0
2013-02-01,Land Only,95.2
2013-03-01,Land Only,95.2
2013-04-01,Land Only,95.3
2013-05-01,Land Only,95.4
2013-06-01,Land Only,95.5
2013-07-01,Land Only,95.6
2013-08-01,Land Only,95.7
2013-09-01,Land Only,95.7
2013-10-01,Land Only,95.7
2013-11-01,Land Only,95.8
2013-12-01,Land Only,95.8
2014-01-01,Land Only,95.9
2014-02-01,Land Only,96.0
2014-03-01,Land Only,96.1
2014-04-01,Land Only,96.2
2014-05-01,Land Only,96.3
2014-06-01,Land Only,96.4
2014-07-01,Land Only,96.4
2014-08-01,Land Only,96.6
2014-09-01,Land Only,96.6
2014-10-01,Land Only,96.7
2014-11-01,Land Only,96.8
2014-12-01,Land Only,96.8
2015-01-01,Land Only,96.9
2015-02-01,Land Only,97.0
2015-03-01,Land Only,97.0
2015-04-01,Land Only,97.0
2015-05-01,Land Only,97.6
2015-06-01,Land Only,97.9
2015-07-01,Land Only,97.9
2015-08-01,Land Only,98.0
2015-09-01,Land Only,98.0
2015-10-01,Land Only,98.1
2015-11-01,Land Only,98.1
2015-12-01,Land Only,98.1
2016-01-01,Land Only,98.1
2016-02-01,Land Only,98.1
2016-03-01,Land Only,98.1
2016-04-01,Land Only,98.1
2016-05-01,Land Only,98.5
2016-06-01,Land Only,98.6
2016-07-01,Land Only,98.7
2016-08-01,Land Only,98.7
2016-09-01,Land Only,99.0
2016-10-01,Land Only,99.5
2016-11-01,Land Only,100.0
2016-12-01,Land Only,100.0
2017-01-01,Land Only,100.4
2017-02-01,Land Only,100.9
2017-03-01,Land Only,101.3
2017-04-01,Land Only,102.3
2017-05-01,Land Only,103.1
2017-06-01,Land Only,103.1
2017-07-01,Land Only,103.3
2017-08-01,Land Only,103.3
2017-09-01,Land Only,103.6
2017-10-01,Land Only,103.6
2017-11-01,Land Only,103.6
2017-12-01,Land Only,103.7
2018-01-01,Land Only,103.7
2018-02-01,Land Only,103.8
2018-03-01,Land Only,103.7
2018-04-01,Land Only,103.7
2018-05-01,Land Only,103.8
2018-06-01,Land Only,103.9
2018-07-01,Land Only,103.9
2018-08-01,Land Only,103.9
2018-09-01,Land Only,104.0
2018-10-01,Land Only,104.0
2018-11-01,Land Only,104.1
2018-12-01,Land Only,104.1
2019-01-01,Land Only,104.1
2019-02-01,Land Only,104.1
2019-03-01,Land Only,104.1
2019-04-01,Land Only,104.1
2019-05-01,Land Only,104.2
2019-06-01,Land Only,104.2
2019-07-01,Land Only,104.1
2019-08-01,Land Only,104.2
2019-09-01,Land Only,104.2
2019-10-01,Land Only,104.2
2019-11-01,Land Only,104.3
2019-12-01,Land Only,104.4
2020-01-01,Land Only,104.8
2020-02-01,Land Only,105.0
2020-03-01,Land Only,105.1
2020-04-01,Land Only,105.1
2020-05-01,Land Only,105.1
2020-06-01,Land Only,105.2
2020-07-01,Land Only,105.9
2020-08-01,Land Only,106.3
2020-09-01,Land Only,106.8
2020-10-01,Land Only,107.4
2020-11-01,Land Only,107.8
2020-12-01,Land Only,108.0
2021-01-01,Land Only,108.4
2021-02-01,Land Only,110.1
2021-03-01,Land Only,110.7
2021-04-01,Land Only,112.9
2021-05-01,Land Only,113.4
2021-06-01,Land Only,112.9
2021-07-01,Land Only,113.0
2021-08-01,Land Only,113.5
2021-09-01,Land Only,113.8
2021-10-01,Land Only,114.4
2021-11-01,Land Only,115.1
2021-12-01,Land Only,115.2
2022-01-01,Land Only,115.5
2022-02-01,Land Only,116.1
2022-03-01,Land Only,116.5
2022-04-01,Land Only,116.7
2022-05-01,Land Only,116.8
2022-06-01,Land Only,117.0
2022-07-01,Land Only,117.2
2022-08-01,Land Only,117.2
2022-09-01,Land Only,117.1
2022-10-01,Land Only,116.7
2022-11-01,Land Only,116.6
2022-12-01,Land Only,116.6
